;ID;ODS;PLANTA / UNIDAD;ESPECIALIDAD;PLANO / ISOMÉTRICO;DESCRIPCIÓN DE LÍNEA / LAZOS DE CORROSIÓN;INGENIERÍA / LÍNEA / EQUIPO;SK UT ITALCO;REV.;MATERIAL BASE 1;MATERIAL BASE 2;CLASIFI-CACIÓN META-LURGÍA;SPOOL;DESCRIPCIÓN DE JUNTA 1;DESCRIPCIÓN DE JUNTA 2;# DE JUNTA;"TALLER (T)
CAMPO (C)";"Φ
inch";SCH / THK;PROCESO SOLDA-DURA;TIPO JUNTA;MAT. DE APORTE;WPS;FECHA EJECUTADA;ESTAMPE SOLDADOR;;;;Cantidad junta soldada X SOLDADOR;;;;cantidad Pulg. Diam X SOLDADOR;;;;VT;PLP;;RX PRE PWHTX;;;UT PRE PWHT;;;PWHT;;;DUREZA;;;RX POST PWHT;;;UT POST PWHT;;;OBSERVACIONES
;;;;;;;;;;;;;;;;;;;;PROCESO DE SOLDADURA;;;;;W1;W2;W3;W4;W1;W2;W3;W4;W1;W2;W3;W4;;RESUL-TADO;N° INFORME;RESULTADO;FECHA;N° INFORME;RESULTADO;FECHA;N° INFORME;RESULTADO;FECHA;N° INFORME;RESULTADO;FECHA;N° INFORME;RESULTADO;FECHA;N° INFORME;RESULTADO;FECHA;N° INFORME;
|;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;23;29;U1300;ESTATICO;NA;ENFRIADOR A D-1304;E1310B;3;0;SA106 GRB;A105;CS;NA;NIPPLE;VALV GATE;9;C; 3/4;80;GTAW;SW;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;24;29;U1300;ESTATICO;NA;ENFRIADOR A D-1304;E1310B;3;0;A105;SA106 GRB;CS;NA;VALV GATE;NIPPLE;10;C; 3/4;80;GTAW;SW;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;25;29;U1300;ESTATICO;NA;ENFRIADOR A D-1304;E1310A/B;4;0;SA106 GRB;A105;CS;NA;PIPE;FLANGE LWN;1;C; 3/4;80;GTAW;F;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;26;29;U1300;ESTATICO;NA;ENFRIADOR A D-1304;E1310A/B;4;0;SA106 GRB;A105;CS;NA;PIPE;FLANGE LWN;2;C; 3/4;80;GTAW;F;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;27;29;U1300;ESTATICO;NA;ENFRIADOR A D-1304;E1310A/B;4;0;SA106 GRB;A105;CS;NA;PIPE;FLANGE LWN;3;C; 3/4;80;GTAW;F;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;28;29;U1300;ESTATICO;NA;ENFRIADOR A D-1304;E1310A/B;4;0;SA106 GRB;A105;CS;NA;PIPE;FLANGE LWN;4;C; 3/4;80;GTAW;F;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;29;29;U1400;ESTATICO;NA;ENFRIADOR DE SOLVENTE PRIMARIO;E1401A/B;5;0;SA106 GRB;A105;CS;NA;PIPE;FLANGE LWN;1;C; 3/4;80;GTAW;F;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;30;29;U1400;ESTATICO;NA;ENFRIADOR DE SOLVENTE PRIMARIO;E1401A/B;5;0;SA106 GRB;A105;CS;NA;PIPE;FLANGE LWN;2;C; 3/4;80;GTAW;F;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;31;29;U1400;ESTATICO;NA;ENFRIADOR DE SOLVENTE PRIMARIO;E1401A/B;5;0;SA106 GRB;A105;CS;NA;PIPE;FLANGE LWN;3;C; 3/4;80;GTAW;F;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;32;29;U1400;ESTATICO;NA;ENFRIADOR DE SOLVENTE PRIMARIO;E1401A/B;5;0;SA106 GRB;A105;CS;NA;PIPE;FLANGE LWN;4;C; 3/4;80;GTAW;F;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;33;29;U1400;ESTATICO;NA;ENFRIADOR DE SOLVENTE PRIMARIO;E1401A/B;5;0;SA106 GRB;A105;CS;NA;PIPE;FLANGE LWN;5;C; 3/4;80;GTAW;F;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;34;29;U1400;ESTATICO;NA;ENFRIADOR DE SOLVENTE PRIMARIO;E1401A/B;5;0;SA106 GRB;A105;CS;NA;PIPE;FLANGE LWN;6;C; 3/4;80;GTAW;F;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;35;29;U1400;ESTATICO;NA;ENFRIADOR DE SOLVENTE PRIMARIO;E1401A/B;5;0;SA106 GRB;A105;CS;NA;PIPE;FLANGE LWN;7;C; 3/4;80;GTAW;F;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;36;29;U1400;ESTATICO;NA;ENFRIADOR DE SOLVENTE PRIMARIO;E1401A/B;5;0;SA106 GRB;A105;CS;NA;PIPE;FLANGE LWN;8;C; 3/4;80;GTAW;F;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
