;;;;;;;;;SAS;;HAZ DE TUBOS;;;;;;;;;;CANAL Ó BONETE;;;;;;;;;TAPA CANAL;;;;;;;;;TAPA CABEZAL FLOTANTE;;;;;;;;;ANILLO Y MEDIAS LUNAS;;;;;;;;CASCO;;;;;;;TAPA CASCO;;;;;;;;;ARMADO DE PARTES;;;;;PRUEBA HIDROSTATICA;;NORMALIZACIÓN;;;;;;;;
;;;;;;;;;LADO TUBOS;LADO CASCO;UBICACIÓN;RETIRO;LAVADO;EDDY / IRIS;INSPECCION VISUAL;RT POST INSPECCIÓN;EJECUCIÓN RT;CAÑUELAS;REENTUBE;LIBERADO PARA INSTALAR;UBICACIÓN;RETIRO;LAVADO;LIMPIEZA PARA INSPECCION ;INSPECCION;RT POST INSPECCIÓN;EJECUCIÓN RT;EJECUCION ALCANCE;LIBERADO PARA INSTALAR;UBICACIÓN;RETIRO;LAVADO;LIMPIEZA PARA INSPECCION ;INSPECCION;RT POST INSPECCIÓN;EJECUCIÓN RT;EJECUCION ALCANCE;LIBERADO PARA INSTALAR;UBICACIÓN;RETIRO;LAVADO;LIMPIEZA PARA INSPECCION ;INSPECCION;RT POST INSPECCIÓN;EJECUCIÓN RT;EJECUCION ALCANCE;LIBERADO PARA INSTALAR;UBICACIÓN;RETIRO;LAVADO;INSPECCION;RT POST INSPECCIÓN;EJECUCIÓN RT;EJECUCION ALCANCE;LIBERADO PARA INSTALAR;LAVADO;LIMPIEZA PARA INSPECCION ;INSPECCION;RT POST INSPECCIÓN;EJECUCIÓN RT;EJECUCION ALCANCE;LIBERADO PARA INSTALAR HAZ;UBICACIÓN;RETIRO;LAVADO;LIMPIEZA PARA INSPECCION ;INSPECCION;RT POST INSPECCIÓN;EJECUCIÓN RT;EJECUCION ALCANCE;LIBERADO PARA INSTALAR;HAZ DE TUBOS;CANAL;TAPA CANAL;TCF Y ANILLOS / MEDIAS LUNAS;TAPA CASCO;LADO TUBOS;LADO CASCO;SOLDADURA DE SELLO;PINTURA ETERIOR;AISLAMIENTO ;RETIRO DE CIEGOS;RCA;;;;
15;U1400;E1403 D;MTTO GRAL CON CAMBIO DE UES;;7;ENFRIADOR DE REFINATO;420;420;OK;OK;OK;OK;OK;NA;OK;NA;NA;NA;NA;;PLANTA;OK;OK;OK;OK;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;OK;OK;;;;;;PLANTA;OK;OK;OK;;;;;;;;NA;NA;;;;;NA;;;;39;15;47,6%;
16;U1400;E1407;"MTTO GRAL
OMBLIGO T-1405";;418;REHERVIDOR DE LA T1405;750;NA;OK;OK;OK;OK;OK;NA;;;;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PLANTA;OK;OK;;;;;;;;NA;NA;NA;;;;N;NA;;;;26;7;26,4%;
17;U1400;E1408 A;MTTO CON CORRIENTES EDDY, SANDBLASTING Y RECUBRIMIENTO ETERIOR;;737;CONDENSADOR  COLUMNA  DE RECOBRO  T-1405;115;75;OK;OK;PATIO;OK;OK;OK;;;;NA;;;PLANTA;OK;OK;;;;;;;PLANTA;OK;OK;;;;;;;PLANTA;OK;OK;;;;;;;;;;;;;;;OK;;;;;;;PLANTA;OK;OK;;;;;;;;;;;;;;;;NA;;;73;14;36,5%;
18;U1500;E1501A;MTTO GRAL;;2;PRECALENTADOR A TORRE DE ARCILLA;750;750;OK;OK;PLANTA;OK;OK;NA;OK;NA;NA;NA;NA;OK;PLANTA;OK;OK;OK;OK;NA;NA;NA;OK;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;OK;OK;OK;NA;NA;OK;OK;PLANTA;OK;OK;OK;OK;NA;NA;NA;OK;OK;OIK;NA;NA;OK;OK;OK;NA;NA;;;;32;25;67,1%;
19;U1500;E1501B;MTTO GRAL;;2;PRECALENTADOR A TORRE DE ARCILLA;750;750;OK;OK;PLANTA;OK;OK;NA;OK;NA;NA;NA;NA;OK;PLANTA;OK;OK;OK;OK;NA;NA;NA;OK;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;OK;OK;OK;NA;NA;OK;OK;PLANTA;OK;OK;OK;OK;NA;NA;NA;OK;OK;OK;NA;NA;OK;OK;OK;NA;NA;;;;32;26;68,4%;
20;U1500;E1509;MTTO GRAL CON RELLENOS DE SOLDADURA;;330; REHERVIDOR  FRACCIONADOR DE ILENOS;650;65;OIK;OK;PLANTA;OK;OK;NA;;;;NA;NA;;PLANTA;OK;;;;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;OK;;;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;;;NA;NA;;;;32;5;14,0%;
21;U1500;E1510;MTTO GRAL, SANDBLASTING INTERIOR CON RECUBRIMIENTO Y RECUBRIMIENTO ETERIOR;;310; CONDENSADOR / FRACCIONADOR / ILENOS  T- 1504;115;75;OK;OK;PLANTA;OK;;NA;;;;NA;NA;;PLANTA;OK;OK;;;;;;;;OK;OK;;;;;;;;OK;OK;;;;;;;;OK;;;;;;;;;;;;;;OK;OK;OK;;;;;;;;;;;;;;;;;;;72;13;33,6%;
22;U1500;E1514;MTTO GRAL, SANDBLASTING INTERIOR CON RECUBRIMIENTO Y RECUBRIMIENTO ETERIOR;;82; CONDENSADOR  DE CIMA  DE  LA T-1505;115;75;;;;;;NA;;;;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72;0;0,0%;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;TOTAL  PLANEADO;20;20;19;19;19;3;19;;;0;3;19;18;18;359717;18;;;10;;18;9;9;9;9;9;9;9;9;9;7;7;7;7;7;7;7;7;7;7;22;7;7;7;7;7;7;18;18;18;13;13;15;18;14;14;14;14;14;12;12;12;14;;;;;;;;;;;;;;;;
;;;;;;;;TOTAL  EJECUTADO;17;18;2;18;15;1;9;;;0;0;6;2;17;266;8;;;0;;4;0;8;8;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;13;5;0;0;2;5;1;13;13;6;2;0;0;0;2;;;;;;;;;;;;;;;;
;;;;;;;;% AVANCE;85%;90%;11%;95%;79%;33%;47%;;;#¡DIV/0!;0%;32%;11%;94%;103%;44%;;;0%;;22%;0%;89%;89%;0%;0%;0%;0%;0%;0%;0%;86%;86%;0%;0%;0%;0%;0%;0%;0%;#¡DIV/0!;0%;0%;0%;0%;0%;0%;89%;72%;28%;0%;0%;13%;28%;7%;93%;93%;43%;14%;0%;0%;0%;14%;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
